id	pre	post_1	post_2
1	-1.78	-1.50	-1.85
2	-1.30	-0.61	0.42
3	-1.45	-0.54	0.28
4	-1.31	-0.43	0.54
5	-1.06	-0.36	0.37
6	-1.14	-0.35	-0.57
7	-1.06	-0.43	0.01
8	-1.03	-0.39	0.95
9	-0.95	-0.92	-1.76
10	-0.97	-0.87	-0.98
11	-0.89	-0.05	1.56
12	-1.27	-0.39	0.36
13	-1.03	-0.12	0.11
14	-1.22	-1.00	-0.01
15	-1.11	-0.73	-0.66
16	-0.84	-0.57	-0.41
17	-0.99	-0.14	-0.18
18	-0.77	-0.33	0.89
19	-1.15	-0.99	-1.07
20	-0.78	-0.71	-1.12
21	-0.58	-0.49	0.27
22	-1.02	-0.62	0.00
23	-0.79	0.06	0.75
24	-0.81	-0.71	-1.22
25	-0.80	-0.30	0.04
26	-0.70	-0.59	0.76
27	-0.51	0.09	1.81
28	-0.73	-0.15	0.73
29	-0.87	-0.65	0.02
30	-0.52	-0.08	1.64
31	-0.74	-0.10	0.49
32	-0.67	0.03	1.54
33	-0.70	-0.10	0.06
34	-0.80	-0.21	0.75
35	-0.65	-0.15	1.31
36	-0.61	-0.18	0.68
37	-0.56	-0.07	0.38
38	-0.53	0.07	0.58
39	-0.72	-0.69	-0.24
40	-0.54	0.34	1.65
41	-0.51	-0.50	-0.70
42	-0.48	-0.29	-0.54
43	-0.47	0.29	1.93
44	-0.28	0.02	1.38
45	-0.62	0.15	1.27
46	-0.51	-0.14	0.33
47	-0.42	0.35	2.38
48	-0.19	0.11	1.90
49	-0.29	0.71	1.62
50	0.10	0.84	3.01
51	-0.65	-0.60	0.76
52	-0.34	0.47	1.96
53	-0.15	0.80	3.14
54	-0.48	-0.07	1.58
55	-0.45	-0.33	1.15
56	-0.24	0.39	2.33
57	-0.17	0.06	0.45
58	-0.38	-0.16	0.55
59	-0.11	0.23	0.48
60	-0.08	0.64	1.84
61	-0.05	0.43	0.93
62	0.04	0.63	1.68
63	0.11	0.99	2.85
64	-0.24	-0.23	1.36
65	-0.09	0.75	2.64
66	-0.34	0.66	1.78
67	-0.18	0.13	1.85
68	-0.12	0.56	1.86
69	0.00	0.59	2.95
70	-0.11	0.05	2.04
71	0.10	0.57	1.21
72	-0.14	0.85	1.88
73	-0.08	0.34	1.62
74	0.01	0.62	2.96
75	0.18	1.15	3.95
76	0.21	0.64	2.26
77	0.25	0.43	2.44
78	-0.18	-0.09	1.67
79	-0.12	0.12	1.56
80	0.00	0.47	2.11
81	0.15	0.40	1.18
82	0.33	0.68	3.30
83	0.13	0.26	1.99
84	0.20	0.26	0.82
85	0.05	0.51	1.69
86	0.19	0.77	3.43
87	0.08	0.57	1.26
88	0.30	0.55	1.46
89	0.08	1.00	2.16
90	0.13	0.86	2.15
91	0.22	0.94	2.04
92	0.40	0.84	2.98
93	0.46	1.33	2.74
94	0.06	0.18	1.18
95	0.49	0.73	1.61
96	0.46	1.11	3.46
97	0.33	1.05	3.35
98	0.22	1.02	3.62
99	0.36	1.34	3.85
100	0.56	1.18	4.28
101	0.64	1.35	2.95
102	0.92	1.79	4.22
103	0.44	1.26	3.28
104	0.51	1.45	4.19
105	0.64	0.88	3.35
106	0.69	1.25	3.54
107	0.72	1.46	3.81
108	0.98	1.25	2.64
109	0.32	0.41	2.15
110	0.47	0.85	1.71
111	0.67	0.68	2.14
112	0.49	1.00	3.19
113	0.58	1.41	3.84
114	0.81	1.01	3.68
115	0.85	1.20	4.04
116	0.87	0.91	2.92
117	0.91	1.16	3.45
118	1.11	1.89	5.63
119	1.16	1.42	4.09
120	1.18	1.19	3.71
121	1.25	1.92	4.84
122	1.03	1.87	5.66
123	1.08	2.00	4.04
124	1.20	1.81	3.65
125	1.28	1.45	4.15
126	1.34	2.31	5.79
127	1.68	1.74	4.39
128	1.73	2.14	5.44
129	1.87	1.93	3.86
