emoc_a;emoc_b;distancia
Absorbed ;Angry ;3
Absorbed ;Annoyed ;2
Absorbed ;Anticipatory ;8.5
Absorbed ;Aware ;14.5
Absorbed ;Crying;2
Absorbed ;Disappointed ;2
Absorbed ;Energetic ;15.5
Absorbed ;Enjoymg ;19.5
Absorbed ;Enthusiastic ;19.5
Absorbed ;Excited ;9.5
Absorbed ;Exhilarated ;9.5
Absorbed ;Fearful ;5
Absorbed ;Frustrated ;5.5
Absorbed ;Grief-stricken;7.5
Absorbed ;Happy;8.5
Absorbed ;Horrified;4
Absorbed ;Interested;53.5
Absorbed ;Joyful;3
Absorbed ;In Pain;7.5
Absorbed ;Peaceful;6
Absorbed ;Pleased;5
Absorbed ;Proud;1.5
Absorbed ;Relaxed;8
Absorbed ;Relieved;0.5
Absorbed ;Sad ;3.5
Absorbed ;Satisfied ;9.5
Absorbed ;Surprised;3.5
Angry ;Annoyed ;47
Angry ;Anticipatory ;1.5
Angry ;Aware ;2
Angry ;Crying;19
Angry ;Disappointed ;22.5
Angry ;Energetic ;2
Angry ;Enjoymg ;0
Angry ;Enthusiastic ;0
Angry ;Excited ;14
Angry ;Exhilarated ;1
Angry ;Fearful ;6
Angry ;Frustrated ;44
Angry ;Grief-stricken;8.5
Angry ;Happy;0
Angry ;Horrified;7.5
Angry ;Interested;0.5
Angry ;Joyful;0
Angry ;In Pain;18.5
Angry ;Peaceful;0
Angry ;Pleased;0
Angry ;Proud;0
Angry ;Relaxed;0
Angry ;Relieved;0
Angry ;Sad ;11
Angry ;Satisfied ;0
Angry ;Surprised;3.5
Annoyed ;Anticipatory ;2.5
Annoyed ;Aware ;3.5
Annoyed ;Crying;5
Annoyed ;Disappointed ;36.5
Annoyed ;Energetic ;0
Annoyed ;Enjoymg ;0
Annoyed ;Enthusiastic ;0
Annoyed ;Excited ;2.5
Annoyed ;Exhilarated ;0
Annoyed ;Fearful ;7
Annoyed ;Frustrated ;49.5
Annoyed ;Grief-stricken;2
Annoyed ;Happy;0
Annoyed ;Horrified;5
Annoyed ;Interested;0
Annoyed ;Joyful;0
Annoyed ;In Pain;15.5
Annoyed ;Peaceful;0
Annoyed ;Pleased;0
Annoyed ;Proud;0
Annoyed ;Relaxed;0
Annoyed ;Relieved;0
Annoyed ;Sad ;8
Annoyed ;Satisfied ;0
Annoyed ;Surprised;5.5
Anticipatory ;Aware ;23.5
Anticipatory ;Crying;0
Anticipatory ;Disappointed ;0.5
Anticipatory ;Energetic ;17.5
Anticipatory ;Enjoymg ;2.5
Anticipatory ;Enthusiastic ;19.5
Anticipatory ;Excited ;35
Anticipatory ;Exhilarated ;12
Anticipatory ;Fearful ;19
Anticipatory ;Frustrated ;6.5
Anticipatory ;Grief-stricken;1
Anticipatory ;Happy;7.5
Anticipatory ;Horrified;6
Anticipatory ;Interested;25
Anticipatory ;Joyful;3
Anticipatory ;In Pain;4
Anticipatory ;Peaceful;0
Anticipatory ;Pleased;2.5
Anticipatory ;Proud;1.5
Anticipatory ;Relaxed;0
Anticipatory ;Relieved;0.5
Anticipatory ;Sad ;0.5
Anticipatory ;Satisfied ;0.5
Anticipatory ;Surprised;7
Aware ;Crying;2.5
Aware ;Disappointed ;4.5
Aware ;Energetic ;14
Aware ;Enjoymg ;11.5
Aware ;Enthusiastic ;10
Aware ;Excited ;13
Aware ;Exhilarated ;9
Aware ;Fearful ;12
Aware ;Frustrated ;5
Aware ;Grief-stricken;3.5
Aware ;Happy;14
Aware ;Horrified;8
Aware ;Interested;43.5
Aware ;Joyful;6.5
Aware ;In Pain;5
Aware ;Peaceful;8.5
Aware ;Pleased;8.5
Aware ;Proud;6
Aware ;Relaxed;5
Aware ;Relieved;6
Aware ;Sad ;4.5
Aware ;Satisfied ;10
Aware ;Surprised;8.5
Crying;Disappointed ;22
Crying;Energetic ;0
Crying;Enjoymg ;0.5
Crying;Enthusiastic ;0
Crying;Excited ;1
Crying;Exhilarated ;0.5
Crying;Fearful ;11
Crying;Frustrated ;19.5
Crying;Grief-stricken;43.5
Crying;Happy;7
Crying;Horrified;7.5
Crying;Interested;0
Crying;Joyful;2
Crying;In Pain;35
Crying;Peaceful;0.5
Crying;Pleased;0.5
Crying;Proud;1
Crying;Relaxed;0.5
Crying;Relieved;3.5
Crying;Sad ;42.5
Crying;Satisfied ;0
Crying;Surprised;3
Disappointed ;Energetic ;0
Disappointed ;Enjoymg ;0
Disappointed ;Enthusiastic ;0
Disappointed ;Excited ;2
Disappointed ;Exhilarated ;0
Disappointed ;Fearful ;3.5
Disappointed ;Frustrated ;42
Disappointed ;Grief-stricken;11.5
Disappointed ;Happy;0
Disappointed ;Horrified;4.5
Disappointed ;Interested;0
Disappointed ;Joyful;0
Disappointed ;In Pain;8.5
Disappointed ;Peaceful;0
Disappointed ;Pleased;0
Disappointed ;Proud;0
Disappointed ;Relaxed;0
Disappointed ;Relieved;1
Disappointed ;Sad ;42.5
Disappointed ;Satisfied ;0
Disappointed ;Surprised;4.5
Energetic ;Enjoymg ;23.5
Energetic ;Enthusiastic ;54.5
Energetic ;Excited ;43
