"","id","bloque","defi_estim","estim","num_estim","error","cong","latencia"
"1",1,"1","Pepsi,Coca Cola","Foto Coke",0,0,0,1968
"2",1,"1","Pepsi,Coca Cola","Foto Pepsi",1,0,0,790
"3",1,"1","Pepsi,Coca Cola","Foto Coke",2,0,0,906
"4",1,"1","Pepsi,Coca Cola","Foto Coke",3,0,0,837
"5",1,"1","Pepsi,Coca Cola","Foto Pepsi",4,0,0,598
"6",1,"1","Pepsi,Coca Cola","Foto Pepsi",5,0,0,612
"7",1,"1","Pepsi,Coca Cola","Foto Coke",6,0,0,636
"8",1,"1","Pepsi,Coca Cola","Foto Coke",7,0,0,725
"9",1,"1","Pepsi,Coca Cola","Foto Coke",8,0,0,663
"10",1,"1","Pepsi,Coca Cola","Foto Coke",9,1,0,953
"11",1,"1","Pepsi,Coca Cola","Foto Pepsi",10,0,0,932
"12",1,"1","Pepsi,Coca Cola","Foto Pepsi",11,0,0,675
"13",1,"1","Pepsi,Coca Cola","Foto Pepsi",12,0,0,569
"14",1,"1","Pepsi,Coca Cola","Foto Pepsi",13,0,0,584
"15",1,"2","Atributos positivos,Atributos negativos","Solidaria",0,0,0,1044
"16",1,"2","Atributos positivos,Atributos negativos","Alegre",1,0,0,555
"17",1,"2","Atributos positivos,Atributos negativos","Aburrida",2,0,0,636
"18",1,"2","Atributos positivos,Atributos negativos","Deshonesta",3,0,0,611
"19",1,"2","Atributos positivos,Atributos negativos","Egoista",4,0,0,608
"20",1,"2","Atributos positivos,Atributos negativos","Comprometida",5,0,0,621
"21",1,"2","Atributos positivos,Atributos negativos","Amistosa",6,0,0,707
"22",1,"2","Atributos positivos,Atributos negativos","Desagradable",7,0,0,739
"23",1,"2","Atributos positivos,Atributos negativos","Solidaria",8,0,0,727
"24",1,"2","Atributos positivos,Atributos negativos","Amistosa",9,0,0,716
"25",1,"2","Atributos positivos,Atributos negativos","Alegre",10,0,0,535
"26",1,"2","Atributos positivos,Atributos negativos","Aburrida",11,0,0,542
"27",1,"2","Atributos positivos,Atributos negativos","Egoista",12,0,0,641
"28",1,"2","Atributos positivos,Atributos negativos","Deshonesta",13,0,0,461
"29",1,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Coke",0,0,0,1754
"30",1,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Egoista",1,0,0,658
"31",1,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Pepsi",2,1,0,1322
"32",1,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Aburrida",3,0,0,818
"33",1,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Coke",4,0,0,765
"34",1,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Desagradable",5,0,0,527
"35",1,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Coke",6,0,0,524
"36",1,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Solidaria",7,0,0,517
"37",1,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Pepsi",8,0,0,578
"38",1,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Deshonesta",9,0,0,936
"39",1,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Pepsi",10,0,0,803
"40",1,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Amistosa",11,1,0,879
"41",1,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Coke",12,0,0,869
"42",1,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Alegre",13,0,0,952
"43",1,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Coke",14,0,0,703
"44",1,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Comprometida",15,0,0,577
"45",1,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Pepsi",16,0,0,607
"46",1,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Egoista",17,0,0,551
"47",1,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Pepsi",18,0,0,696
"48",1,"3","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Solidaria",19,0,0,718
"49",1,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Pepsi",0,0,0,586
"50",1,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Egoista",1,0,0,635
"51",1,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Coke",2,0,0,752
"52",1,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Aburrida",3,0,0,525
"53",1,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Coke",4,0,0,502
"54",1,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Deshonesta",5,0,0,604
"55",1,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Pepsi",6,0,0,517
"56",1,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Amistosa",7,0,0,582
"57",1,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Coke",8,1,0,1144
"58",1,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Desagradable",9,0,0,1035
"59",1,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Coke",10,0,0,616
"60",1,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Egoista",11,0,0,615
"61",1,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Pepsi",12,0,0,872
"62",1,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Comprometida",13,0,0,643
"63",1,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Coke",14,1,0,1340
"64",1,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Solidaria",15,0,0,571
"65",1,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Pepsi",16,0,0,530
"66",1,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Alegre",17,0,0,616
"67",1,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Foto Pepsi",18,0,0,637
"68",1,"4","Pepsi/Atributos positivos,Coca Cola/Atributos negativos","Solidaria",19,0,0,532
