"","ventas","grps","d1","d2","d3","d4","d5"
"1",1364,1069.8,0,0,0,0,0
"2",1836,518.4,0,0,0,0,0
"3",1777,0,0,0,0,0,0
"4",1043,7.5,0,0,0,0,0
"5",1180,0,0,0,0,0,0
"6",1126,0,0,0,0,0,0
"7",893,0,0,0,0,0,0
"8",807,0,0,0,0,1,0
"9",864,2.9,0,0,0,0,0
"10",894,3,0,0,0,0,0
"11",922,2.4,0,0,0,0,0
"12",565,1.6,0,0,0,0,0
"13",661,0,0,0,0,0,0
"14",1055,627.2,1,0,0,0,0
"15",1431,338,1,0,0,0,0
"16",1906,841.6,1,0,0,0,0
"17",2240,169.3,1,0,0,0,0
"18",1776,11.4,1,0,0,0,0
"19",1538,18.4,1,0,0,0,0
"20",960,10.1,1,0,0,1,0
"21",1142,18.1,1,0,0,0,0
"22",1369,11.5,1,0,0,0,0
"23",1171,12.1,1,0,0,0,0
"24",1208,6.1,1,0,0,0,0
"25",1234,1075.9,1,0,0,0,0
"26",1405,150.2,1,0,0,0,0
"27",1112,8.8,1,0,0,0,0
"28",1263,29,1,0,0,0,0
"29",1080,8.2,1,0,0,0,0
"30",1254,637.5,1,0,0,0,0
"31",1348,348.9,1,0,0,0,0
"32",870,14.3,1,0,0,1,0
"33",1013,33.9,1,0,0,0,0
"34",967,10.5,1,0,0,0,0
"35",767,2.7,1,0,0,0,0
"36",603,0,1,0,0,0,0
"37",603,723.6,1,0,0,0,0
"38",878,489.8,1,0,0,0,0
"39",1011,1.2,1,0,0,0,0
"40",703,0,1,0,0,0,0
"41",901,0,1,0,0,0,0
"42",1051,0,1,0,0,0,0
"43",984,0.4,1,0,0,0,0
"44",590,0,1,0,0,1,0
"45",745,2.1,1,0,0,0,0
"46",948,896.9,1,0,0,0,0
"47",914,302.9,1,0,0,0,0
"48",821,0.2,1,0,0,0,0
"49",717,459.7,1,0,0,0,0
"50",994,542.7,1,0,0,0,0
"51",1148,0.9,1,0,0,0,0
"52",887,0.8,1,0,0,0,0
"53",813,0.3,1,0,0,0,0
"54",733,0.1,1,0,0,0,0
"55",469,0,1,0,1,0,0
"56",384,0,1,0,1,1,0
"57",541,705,1,0,1,0,0
"58",707,492.4,1,0,1,0,0
"59",687,3.9,1,0,1,0,0
"60",574,0.5,1,0,1,0,0
"61",468,0.4,1,0,1,0,0
"62",564,0.2,1,0,1,0,0
"63",1123,0,1,1,1,0,1
"64",716,935.8,1,1,1,0,0
"65",1069,191,1,1,1,0,0
"66",1044,917.4,1,1,1,0,0
"67",638,26.5,1,1,1,0,0
