"","id","t","marca","A","B","C","D","E","F","G"
"1",1,0,2,0.34,1.73,0,0,0,0.59,0
"2",2,0,1,2.93,3.59,0,0,0,0,0
"3",2,130,5,4.2,8.94,2.53,0,0.045,0,0
"4",2,255,1,16.47,16.575,8.305,3,7.195,12.48,0
"5",2,310,4,17.29,16.575,8.305,3,7.195,12.48,0
"6",2,339,1,19.2,16.575,15.445,3,7.195,12.48,0
"7",3,0,2,2.22,0.63,0,0,0,1.21,1.05
"8",3,153,6,6.65,3.3,0,0,0,5.385,1.05
"9",4,137,1,3.62,0,0,0,0,1.7,0
"10",5,0,4,3.03,0,0,0,0,0.52,0
"11",5,166,1,4.13,0,0,0,1.48,3.54,0
"12",6,0,6,3.91,0,0,0,0,0.56,0
"13",6,140,6,4.44,0,0,0,0,0.56,0
"14",6,364,6,10.5,0,6.18,0,0,0.56,0
"15",7,47,1,4.84,0,0,1.6,0,2.39,0
"16",7,150,6,7.5,3.78,8.16,1.6,0,2.39,0
"17",7,181,5,14.15,3.78,8.16,1.6,2.19,2.39,0
"18",7,234,2,19.97,3.78,8.16,1.6,2.19,2.39,0
"19",7,258,6,21.84,6.285,8.16,1.64,4.09,3.74,0
"20",8,202,1,11.825,4.12,0,0,0,4.35,3
"21",8,229,1,20.215,6.515,0,0,4.23,5.85,3.45
"22",9,157,1,9.91,0.94,3.66,0.98,1.18,6.79,0
"23",10,195,5,5.48,0.77,0,0,2.81,3.67,0
"24",11,53,1,14.07,3.01,0,0.95,0,6.11,0
"25",11,132,1,25.67,7.29,0,0.95,0,8.03,0.05
"26",11,146,2,27.64,7.29,0,0.95,0,8.13,0.05
"27",11,349,2,37.06,9.41,9.37,0.95,2.06,13.825,0.05
"28",12,69,1,7.48,1.5,0,0,0,2.67,0.06
"29",12,74,1,9.42,1.5,0,0,0,5.25,0.06
"30",12,111,7,12.89,2.49,0,0,0,5.25,0.06
"31",12,272,6,22.44,9.07,0,1.04,3.75,8.48,0.06
"32",13,37,1,5.95,3.38,0,0,0,4.06,0
"33",13,181,1,16.38,6.61,1.77,0,3.16,7.24,0.94
"34",13,194,1,19.42,7.74,1.77,0,3.16,10.37,0.94
"35",13,278,2,25.66,9.93,1.77,0,5.28,12.74,0.94
"36",13,343,1,28.78,9.93,1.77,0,5.28,12.74,0.94
"37",14,102,1,2.24,3.91,1.49,0.27,0,0,0
"38",14,249,1,18.23,8.935,7.39,3.675,7.18,3.38,0
"39",15,90,3,8.43,0.81,0,1.05,0,3.22,0
"40",15,146,3,9.9,0.81,0,1.05,0,3.34,0
"41",15,181,3,16.19,0.81,0,1.05,3.16,3.34,0
"42",15,251,3,23.98,3.09,0,1.77,8.61,6.44,0
"43",17,181,1,23.54,3.15,5.15,0,9.35,8.27,0.07
"44",17,195,7,27.02,4.635,5.15,0,9.35,9.84,0.07
"45",17,284,4,42.02,7.245,5.15,2.97,15.41,16.21,0.07
"46",18,0,1,1.22,0,0,1.3,0,0,0
"47",18,255,1,14.57,12.615,11.945,3.72,6.23,8.03,3.62
"48",20,90,1,6.5,0,0,1.51,0,1.39,0.04
"49",20,307,1,27.58,4.7,4.08,1.51,4.81,4.24,0.04
"50",20,330,1,29.08,4.7,4.08,1.51,4.81,4.24,0.04
"51",21,329,1,6.66,0,0.04,0,0,0.91,0
"52",23,166,3,1.9,3.72,2.2,0,2.5,2.95,0
"53",23,277,3,5.87,3.72,2.2,0,2.5,5.04,0
"54",24,10,7,4.32,0,0,0.84,0,0,0
"55",24,33,7,10.02,1.01,0,0.84,0,5.99,0
"56",24,149,7,35.46,10.945,9.945,0.84,0,11.65,0
"57",24,246,7,41.08,14.185,19.885,1.05,4.68,13.37,0
"58",24,299,7,41.76,14.185,19.885,1.05,4.68,13.37,0
"59",24,303,7,42.64,14.185,25.695,1.05,4.68,13.37,0
"60",25,309,2,3.63,4.115,2.365,0,1.76,1.74,0
"61",25,341,2,5.82,4.115,2.365,0,1.76,1.74,0
"62",26,0,1,2.66,0,0,0,0,2.49,0
"63",26,165,1,3.86,0,0,0,0.67,4.67,0
"64",26,165,1,5.06,0,0,0,1.34,6.85,0
"65",26,261,1,7.1,0,0,0,4.48,6.85,0
"66",28,246,1,8.55,3.91,6.46,0.21,3.39,0,0
"67",28,293,7,9.59,3.91,6.46,0.21,3.39,0,0
"68",30,0,5,3.84,1.27,0,0,0,1.45,0
"69",30,99,1,9.41,4.01,1.62,0,0,3.92,0
"70",30,156,6,11.16,5.51,5.1,0,1.29,5.64,0
"71",30,264,2,13.61,5.51,5.1,0,3.83,9.24,0
"72",31,69,1,3.89,1.55,0,0,0,1.47,1.27
"73",31,94,1,7.24,1.99,0,0,0,1.47,1.57
"74",31,219,1,17.56,8.485,4.21,0,5.87,1.47,3.37
"75",31,272,1,23.61,11.14,4.21,2.44,5.87,2.1,3.37
"76",32,251,7,13.38,4.755,2.04,0.83,5.4,5.45,0
"77",32,327,5,14.98,4.78,6.075,0.83,5.72,5.45,0
"78",33,0,1,0.42,1.79,0,0,0,0,0
"79",34,164,7,2.93,0,0,0,2.77,4.09,0
"80",36,0,1,2.2,0,0,0.98,0,0,0
"81",36,27,1,3.74,0.73,0,0.98,0,0.47,0
"82",37,209,7,9.65,4.41,1.275,0.06,5.02,6.815,0
"83",37,309,7,13.25,4.41,1.275,0.06,7.08,8.915,0
"84",38,0,2,1.97,0,0,0,0,1.33,0
"85",39,41,1,6.7,2.11,0,0.79,0,2.89,0
"86",39,80,1,13.32,2.11,0,0.79,0,6.58,2.1
"87",39,90,1,15.71,2.11,0,0.79,0,7.22,3.15
"88",39,122,1,19.87,9.39,3.575,0.79,0.665,7.22,3.15
"89",39,153,1,22.21,10.93,3.575,0.79,0.665,11.395,3.15
"90",39,167,1,23.96,10.93,3.575,0.79,3.825,14.205,3.15
"91",39,188,1,25.05,11,3.575,0.79,5.525,15.385,4.65
"92",39,220,1,28.55,12.44,3.575,0.79,7.775,17.935,6.15
"93",39,258,1,35.26,16.88,3.575,1.16,12.285,19.195,6.75
"94",40,0,5,0.78,0,0,0.27,0,0,0
"95",41,152,1,11.62,4.42,7.455,0,0,10.545,1.15
"96",43,0,3,1.08,0,0,0,0,0,0
"97",43,134,3,5.5,1.82,0,0,0,1.67,0
"98",43,179,3,15.4,3.31,13.3,0,7.6,8.075,0
"99",43,284,3,17.5,3.31,13.3,0,7.6,10.905,0
"100",44,0,7,0.34,1.73,0,0,0,0.59,0
"101",44,76,7,5.84,1.73,0,0,0,4.01,0.27
"102",44,357,7,16.72,7.18,4.83,0,0.44,9.685,0.27
"103",46,111,7,10.83,1.17,0,0,0,4.51,2.85
"104",46,288,5,21.98,3.015,0,0,6.45,9.64,5.85
"105",47,0,6,2.45,0.55,0,0,0,2.05,0
"106",47,60,7,5.01,0.55,0,0,0,4,1.2
"107",47,79,1,9.345,0.55,0,0,0,4.49,1.35
"108",48,0,1,2.84,0,0,0.26,0,0,0
"109",48,80,1,7.59,0,0,0.26,0,2.32,0
"110",48,148,1,9.48,1.27,0,0.26,0,2.32,0
"111",49,0,1,3.56,0,0,0.84,0,0,0
"112",50,0,4,3.05,0,0,0.93,0,0,0
"113",50,321,1,14.71,3.15,0,0.93,1.46,2.88,0.04
"114",51,353,5,8.34,3.12,6.99,0,0,2.8,0
"115",52,144,7,3.35,0,0,0.91,0,0.1,0
"116",53,0,4,2.84,0.76,0,0,0,2.57,0
"117",53,47,4,5.71,0.76,0,0,0,4.96,0
"118",53,101,4,7.02,4.395,1.72,0,0,4.96,0
"119",53,250,4,25.49,7.205,7.9,2.52,6.94,10.925,0
"120",54,110,7,8.7,7.355,1.275,0.21,0,1.17,2.25
"121",54,179,1,14.86,7.355,8.995,0.21,1.85,1.28,2.25
"122",54,200,1,19.43,8.565,21.225,0.21,2.56,6.52,6.3
"123",54,318,1,26.88,12.43,35.755,2.66,6.08,8.32,6.75
"124",54,341,1,28.78,12.43,35.755,2.66,6.08,8.32,6.75
"125",56,0,6,1.78,2,0,0,0,1.15,0
"126",56,107,1,6.15,3.19,0,0,0,2.87,0
"127",56,243,6,16.36,8.86,0,2.84,1.46,4.28,0
"128",58,0,2,1.61,0.97,0,0,0,1.04,0
"129",60,65,5,3.74,1.11,0,1.46,0,0.77,0
"130",60,118,2,7.28,1.72,0,1.46,0,0.77,0
"131",60,317,6,8.01,1.72,0,1.46,0,0.77,0
"132",61,201,1,7.51,1.16,0,0,0,3.55,0
"133",62,178,2,7.21,2.42,11.16,0,2.83,2.96,0
"134",62,246,7,10.33,4.9,18.24,0.24,6.05,3.32,0
"135",63,0,1,1.54,0.73,0,0,0,0.47,0
"136",63,146,1,6.84,2.02,0,0,0,0.57,0
"137",64,138,1,3.19,0,0.21,0,0,2.63,0
"138",64,145,1,4.22,0,0.42,0,0,2.825,0
"139",64,220,1,10.6,1.71,0.42,0,2.13,5.875,0
"140",66,85,3,6.69,0,0,0,0,3,0
"141",66,250,2,12.11,3.3,7.07,2.3,2.7,6.85,0
"142",67,0,3,3.35,0,0,0,0,2.69,0.85
"143",67,155,3,5.78,1.05,4.5,0,3.05,4.33,0.85
"144",67,249,7,9.16,2.685,10.19,3.095,5.77,5.18,2.04
"145",69,58,1,6.47,0,0,0,0,2.71,0
"146",70,52,6,2.75,0,0,0.23,0,2.63,0
"147",70,165,4,7.55,3.405,6.01,0.23,1.3,7.515,0
"148",70,171,4,8.51,3.405,6.01,0.23,3.7,9.455,0
"149",71,0,3,1.55,0,0,0,0,0.095,0
"150",73,0,1,1.87,1.23,0,0,0,0.92,0
"151",74,176,1,11.68,1.72,0,0,2.85,1.69,0
"152",75,247,1,10.07,5.065,13.72,1.74,2.53,2.28,0
"153",76,43,1,3.66,0,0,1.56,0,1.44,0
"154",77,251,6,6.59,3.33,1.66,0.73,3.5,1.76,0
"155",78,159,6,12.68,1.89,5.02,0,2.47,6.875,2.67
"156",79,0,1,3.57,2.19,0,0,0,2.53,0
"157",79,276,2,15.39,4.45,0,0,2.62,8.84,0
"158",80,0,2,3.91,2.21,0,0,0,0.09,1.19
"159",80,308,1,7.39,2.21,0,0,0,0.5,1.19
"160",81,0,1,2.1,0,0,0,0,2.22,0
"161",83,0,4,0.78,0.56,0,0,0,0.07,0
"162",83,110,2,3.27,3.29,0,0,0,0.07,0
"163",85,58,1,5.31,1.79,0,0.79,0,0.35,0
"164",85,162,1,10.29,2.92,0,0.79,2.55,0.56,0
"165",86,354,1,14.33,2.25,4.82,0,2.81,5.21,2.55
"166",87,83,2,11.03,1.71,0,0,0,5.51,3.06
"167",87,163,3,19.14,2.44,0.085,0,2.335,5.51,3.06
"168",87,349,3,25.72,4.81,0.085,0,5.595,10.05,4.25
"169",89,110,7,5.28,5.45,0,0,0,2.5,0
"170",91,15,7,3.42,3,0,3.88,0,0,0
