"","id","marca","pubac_A","pubac_B","pubac_C","pubac_D","pubac_E","pubac_F","pubac_G"
"1",1,"B",0,3,0,0,0,1,2
"2",2,"E",4,9,3,0,0,0,0
"3",2,"B",5,9,3,0,0,1,3
"4",2,"D",17,17,8,0,3,7,12
"5",3,"B",2,1,0,1,0,0,1
"6",3,"F",5,2,0,1,0,0,1
"7",3,"F",7,3,0,1,0,0,5
"8",4,"A",3,0,0,0,0,0,2
"9",5,"F",4,0,0,0,0,0,1
"10",5,"A",7,0,0,0,0,0,1
"11",5,"F",8,0,6,0,0,0,1
"12",6,"A",5,0,0,0,2,0,2
"13",6,"E",6,2,4,0,2,0,2
"14",6,"B",20,4,8,0,2,2,2
"15",6,"D",25,6,8,0,2,4,7
"16",7,"A",1,1,0,0,0,0,1
"17",7,"A",4,1,0,2,0,0,3
"18",7,"A",7,3,0,2,0,0,3
"19",7,"A",12,4,0,3,0,0,4
"20",8,"A",10,0,0,0,1,0,3
"21",8,"E",11,1,4,0,1,4,8
"22",9,"A",14,3,0,0,1,0,6
"23",9,"B",28,7,0,0,1,0,8
"24",10,"B",3,2,0,0,0,0,2
"25",10,"A",15,3,0,0,0,2,6
"26",10,"B",18,3,0,0,0,2,6
"27",11,"G",9,3,0,1,0,0,7
"28",11,"A",16,7,2,1,0,3,7
"29",11,"A",19,8,2,1,0,3,10
"30",11,"B",21,8,2,1,0,5,10
"31",12,"G",1,0,0,0,0,0,0
"32",12,"A",7,5,1,0,0,0,0
"33",13,"C",1,0,0,0,1,0,0
"34",13,"C",2,1,0,0,1,0,0
"35",13,"C",10,1,0,0,1,0,3
"36",13,"C",22,2,0,0,1,6,5
"37",14,"A",3,0,0,2,0,0,2
"38",15,"B",9,1,0,0,0,0,1
"39",15,"A",24,3,5,0,0,9,8
"40",15,"G",27,5,5,0,0,9,10
"41",15,"D",32,5,5,0,2,9,10
"42",15,"G",36,7,5,0,3,15,10
"43",16,"A",2,0,0,0,2,0,0
"44",16,"A",4,0,0,0,2,0,1
"45",16,"A",21,5,4,0,2,5,4
"46",16,"A",28,5,4,0,2,5,4
"47",17,"A",5,2,0,2,0,5,2
"48",18,"G",10,1,0,0,1,0,6
"49",18,"G",31,7,2,0,1,0,12
"50",18,"G",32,8,2,0,1,0,12
"51",18,"G",41,14,20,0,1,5,13
"52",19,"A",3,0,0,0,0,0,2
"53",19,"A",4,0,0,0,0,1,5
"54",20,"G",3,0,0,0,0,3,3
"55",21,"A",9,4,6,0,0,3,0
"56",22,"F",0,2,0,0,0,0,0
"57",22,"A",7,2,0,2,0,0,1
"58",22,"A",10,3,0,2,0,0,1
"59",22,"A",11,5,4,2,0,0,1
"60",22,"A",20,10,4,3,1,6,1
"61",22,"A",24,11,4,3,2,6,2
"62",22,"A",25,11,4,3,2,6,2
"63",22,"A",26,11,4,3,2,6,2
"64",23,"G",3,0,0,0,0,0,1
"65",23,"G",4,3,2,0,0,0,1
"66",24,"E",3,2,0,2,0,0,2
"67",25,"G",2,0,0,0,0,0,2
"68",26,"A",4,1,0,0,1,0,0
"69",26,"A",11,1,0,0,1,0,6
"70",26,"A",16,3,0,0,1,0,6
"71",26,"A",19,4,0,0,1,0,6
"72",26,"A",21,11,2,0,1,0,10
"73",27,"A",1,0,0,0,0,0,0
"74",27,"G",10,4,1,0,0,5,7
"75",28,"B",2,0,0,0,0,0,1
"76",29,"A",18,5,0,3,1,0,7
"77",29,"A",20,9,4,3,1,1,7
"78",29,"A",21,9,4,3,1,1,7
"79",29,"A",29,12,4,6,1,8,18
"80",30,"E",1,0,0,0,0,0,0
"81",30,"E",4,1,0,0,0,0,0
"82",31,"C",9,3,5,0,0,5,8
"83",32,"G",0,2,0,0,0,0,1
"84",32,"G",2,2,0,0,0,0,3
"85",32,"G",13,7,0,0,0,0,10
"86",33,"F",2,1,5,0,0,0,5
"87",33,"C",4,1,5,0,0,0,5
