grps;ventas;precio;distri;d1;d2;d3
298.1;17.67;1.221083192;89;0;0;0
202.2;20.58;1.216533042;89;0;0;0
223.8;19.65;1.217890585;89;0;0;0
195.8;19.86;1.220772407;89;0;0;0
1;19.17;1.220291601;87;0;0;0
1;19.68;1.214301321;90;0;0;0
1;18.74;1.212133938;90;0;0;0
1;18.73;1.224867058;90;0;0;0
1;18.34;1.225400763;89;0;0;0
1;17.43;1.223928858;89;0;0;0
1;17.77;1.204365785;90;0;0;0
1;18.57;1.202929456;92;0;0;0
1;19.69;1.201087354;91;0;0;0
1;17.84;1.210367152;91;0;0;0
1;17.38;1.215171461;90;0;0;0
1;16.67;1.221212957;90;0;0;0
1;18.18;1.210773377;91;0;0;0
1;18.34;1.211878953;92;0;0;0
11.1;16.62;1.211120337;91;0;0;0
1;18.91;1.210849815;92;0;0;0
1;18.71;1.211631213;92;0;0;0
251.2;21.75;1.208134253;92;0;0;0
296.7;20.84;1.20315595;92;0;0;0
284;23.43;1.204798549;92;0;0;0
280.4;22.96;1.206355836;92;0;0;0
1;23.15;1.207552916;92;0;0;0
1;21.74;1.208688592;92;0;0;0
1;21.19;1.194158565;91;0;0;0
1;22.47;1.189278149;91;0;0;0
1;22.32;1.191776434;91;0;0;0
1;21.16;1.200917297;91;0;0;0
1;19.94;1.202522066;92;0;0;0
1;19.81;1.196170621;91;0;0;0
1;20.57;1.202188138;91;0;0;0
114.7;22.75;1.204563077;92;0;0;0
250.7;22.78;1.204803336;92;0;0;0
230.4;29.72;1.194089502;93;0;0;1
1;32.97;1.194641492;93;1;0;0
1;30.61;1.19476609;93;0;1;0
1;22.66;1.192517652;92;0;0;0
1;21.66;1.196087258;92;0;0;0
1;20.48;1.197440918;91;0;0;0
1;20.71;1.198665862;92;0;0;0
1;21.29;1.191916862;92;0;0;0
1;20.56;1.196209144;92;0;0;0
1;20.25;1.191715062;91;0;0;0
1;21.38;1.161012161;91;0;0;0
1;22.39;1.152574364;92;0;0;0
1;20.52;1.173598441;92;0;0;0
1;18.42;1.187058632;91;0;0;0
1;18.7;1.185755615;91;0;0;0
1;18.07;1.176440509;90;0;0;0
1;20.98;1.166026692;91;0;0;0
1;19.84;1.173514113;91;0;0;0
1;21.21;1.08764215;90;0;0;0
1;21.95;1.04430615;90;0;0;0
1;24.67;1.075256587;91;0;0;0
222.3;20.58;1.153857143;91;0;0;0
229.6;19.59;1.191248596;91;0;0;0
318.9;20.52;1.18522076;91;0;0;0
256.8;21.46;1.188573159;92;0;0;0
1;20.48;1.190567871;92;0;0;0
1;19.06;1.185971668;92;0;0;0
1;19.77;1.184627719;92;0;0;0
1;20.29;1.190279941;92;0;0;0
1;18.35;1.20206376;92;0;0;0
1;17.26;1.197719583;92;0;0;0
1;17.49;1.198704974;91;0;0;0
1;18.21;1.196447556;91;0;0;0
1;18.45;1.19498645;92;0;0;0
1;17.66;1.195985277;91;0;0;0
1;16.06;1.196632628;91;0;0;0
1;16.25;1.198142154;92;0;0;0
1;18.57;1.184360797;92;0;0;0
1;17.62;1.165848468;91;0;0;0
1;18.61;1.156037077;90;0;0;0
1;16.82;1.180046968;90;0;0;0
1;18.35;1.169698638;90;0;0;0
1;18.42;1.171078176;90;0;0;0
1;20.52;1.149199805;90;0;0;0
1;19.28;1.172010373;90;0;0;0
1;19.19;1.186263679;90;0;0;0
1;17.24;1.180540603;90;0;0;0
1;17.04;1.182826291;90;0;0;0
1;16.68;1.187477818;90;0;0;0
1;18.76;1.176602345;90;0;0;0
48.6;21.83;1.166357306;91;0;0;0
374.7;21.76;1.165532629;90;0;0;0
436.7;29.38;1.15533288;93;0;0;1
304.3;38.12;1.151596013;94;1;0;0
35.6;31.76;1.156634446;93;0;1;0
1;20.63;1.17686573;91;0;0;0
1;18.46;1.188379198;90;0;0;0
1;18.15;1.197368595;90;0;0;0
1;18.6;1.183775806;90;0;0;0
1;19.04;1.172913866;90;0;0;0
1;17.67;1.170752688;90;0;0;0
1;17.11;1.177520748;90;0;0;0
1;17.77;1.152531795;89;0;0;0
1;19.52;1.131317623;90;0;0;0
1;17.08;1.182794496;89;0;0;0
1;14.71;1.233789939;88;0;0;0
1;15.24;1.242519685;90;0;0;0
1;15.08;1.244536472;90;0;0;0
