pub;v;dpubp
682857.39;3430;
361648.92;3453;0
641270.63;4365;279621.71
549239.58;4083;0
715301.08;4504;166061.5
545497.66;4263;0
334356.09;3666;0
124414.41;2600;0
239892.44;3014;115478.03
649793.78;3739;409901.34
123629.57;3150;0
562734.5;3012;439104.93
411113.11;2875;0
243634.64;3273;0
229432.53;2819;0
14087.02;2899;0
286436.11;2438;272349.09
439860.46;2797;153424.35
0;2829;0
7628.24;1747;7628.24
66144.15;2269;58515.91
298408.85;2300;232264.7
277983.56;1894;0
143604.47;1340;0
178415.53;1340;34811.06
306017.14;1773;127601.61
445101.91;2594;139084.77
415196.61;2223;0
74605.61;2391;0
303886.59;2698;229280.98
64140.08;2543;0
0;1574;0
18680.96;2174;18680.96
52545.55;2415;33864.59
179771.84;2328;127226.29
44123.62;2251;0
187961.52;1751;143837.9
146672.32;2239;0
213280.34;2691;66608.02
16773.69;2049;0
247924.5;1952;231150.81
23927.33;1913;0
29333.53;1278;5406.2
16659.51;1010;0
39307.58;1410;22648.07
57460.89;1798;18153.31
113384.26;1859;55923.37
116962.15;1600;3577.89
0;1283;0
0;1580;0
3723.84;2417;3723.84
204427.19;1425;200703.35
22223.6;1965;0
39136.84;1838;16913.24
5154.74;1249;0
