"","Publicidad","Ventas"
"1",608,1016
"2",451,921
"3",529,934
"4",543,976
"5",525,930
"6",549,1052
"7",525,1184
"8",578,1089
"9",609,1087
"10",504,1154
"11",752,1330
"12",613,1980
"13",862,2223
"14",866,2203
"15",1016,2514
"16",1360,2726
"17",1482,3185
"18",1608,3351
"19",1800,3438
"20",1941,2917
"21",1229,2359
"22",1373,2240
"23",1611,2196
"24",1568,2111
"25",983,1806
"26",1046,1644
"27",1453,1814
"28",1504,1770
"29",807,1518
"30",339,1103
"31",562,1266
"32",745,1473
"33",749,1423
"34",862,1767
"35",1034,2161
"36",1054,2336
"37",1164,2602
"38",1102,2518
"39",1145,2637
"40",1012,2177
"41",836,1920
"42",941,1910
"43",981,1984
"44",974,1787
"45",766,1689
"46",920,1866
"47",964,1896
"48",811,1684
"49",789,1633
"50",802,1657
"51",770,1569
"52",639,1390
"53",644,1387
"54",564,1289
