"","Publicidad","Ventas","Ingresos","D1","D2","D3","DU","T"
"1",451,921,29.5,1,0,0,1,1
"2",529,934,30.2,1,0,0,1,2
"3",543,976,30.5,1,0,0,1,3
"4",525,930,31.9,1,0,0,1,4
"5",549,1052,33.9,1,0,0,1,5
"6",525,1184,34.8,1,0,0,1,6
"7",578,1089,35.8,1,0,0,1,7
"8",609,1087,40.2,0,1,0,1,8
"9",504,1154,47.8,0,1,0,1,9
"10",752,1330,55.2,0,1,0,1,10
"11",613,1980,62.3,0,1,0,1,11
"12",862,2223,63.3,0,1,0,1,12
"13",866,2203,71.5,0,1,0,1,13
"14",1016,2514,60.2,0,1,0,1,14
"15",1360,2726,60.3,0,1,0,1,15
"16",1482,3185,69.7,0,1,0,1,16
"17",1608,3351,71.4,0,1,0,1,17
"18",1800,3438,73,0,1,0,1,18
"19",1941,2917,77.4,0,0,1,0,19
"20",1229,2359,77.4,0,0,1,0,20
"21",1373,2240,77.5,0,0,1,0,21
"22",1611,2196,83.1,0,0,1,0,22
"23",1568,2111,74.4,0,0,1,0,23
"24",983,1806,63.8,0,0,1,0,24
"25",1046,1644,48.7,0,0,1,0,25
"26",1453,1814,45.7,0,0,1,0,26
"27",1504,1770,52,0,0,1,0,27
"28",807,1518,58.3,0,0,1,0,28
"29",339,1103,66.2,0,0,1,0,29
"30",562,1266,71,0,0,1,0,30
"31",745,1473,65.7,0,0,1,0,31
"32",749,1423,70.4,0,0,1,0,32
"33",862,1767,76.1,0,0,1,0,33
"34",1034,2161,93,0,0,0,0,34
"35",1054,2336,117.5,0,0,0,0,35
"36",1164,2602,133.5,0,0,0,0,36
"37",1102,2518,146.8,0,0,0,0,37
"38",1145,2637,150.4,0,0,0,0,38
"39",1012,2177,160.6,0,0,0,0,39
"40",836,1920,170.1,0,0,0,0,40
"41",941,1910,189.3,0,0,0,0,41
"42",981,1984,189.7,0,0,0,0,42
"43",974,1787,207.7,0,0,0,0,43
"44",766,1689,227.5,0,0,0,0,44
"45",920,1866,238.7,0,0,0,0,45
"46",964,1896,252.5,0,0,0,0,46
"47",811,1684,256.9,0,0,0,0,47
"48",789,1633,274.4,0,0,0,0,48
"49",802,1657,292.9,0,0,0,0,49
"50",770,1569,308.8,0,0,0,0,50
"51",639,1390,317.9,0,0,0,0,51
"52",644,1387,337.3,0,0,0,0,52
"53",564,1289,351.8,0,0,0,0,53
