"","pl1","pl2"
"1",0,96
"2",102,142
"3",0,103
"4",99,0
"5",0,0
"6",113,0
"7",0,0
"8",102,0
"9",0,0
"10",120,0
"11",0,0
"12",113,172
"13",0,149
"14",88,119
"15",0,0
"16",3,0
"17",104,0
"18",100,0
"19",112,0
"20",93,0
"21",0,0
"22",102,159
"23",101,161
"24",0,147
"25",0,111
"26",0,0
"27",0,0
"28",0,0
"29",1,0
"30",0,142
"31",120,154
"32",130,155
"33",133,155
"34",0,0
"35",0,0
"36",0,0
"37",0,159
"38",115,161
"39",120,165
"40",111,0
"41",108,0
"42",0,0
"43",0,0
"44",0,181
"45",0,205
"46",0,160
"47",0,0
"48",0,0
"49",0,0
"50",0,0
"51",0,137
"52",0,218
